domain,country,language,last_update,website_url,organization,country_code,language_code,last_update_basis,ror_record_last_modified,website_last_modified,last_checked_utc,http_status,reachable,source_category,ror_id,ror_types,source_record,relevance_note
noegus.at,Austria,German,2026-07-20,https://www.noegus.at/,Niederösterreichischer Gesundheits- und Sozialfond,AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:19+00:00,URLError,unknown,research_funder,https://ror.org/05g6ncb39,funder; government,https://ror.org/05g6ncb39,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
omv.com,Austria,German,2026-07-20,https://www.omv.com/,OMV (Austria),AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:55:47+00:00,URLError,unknown,research_funder,https://ror.org/00xn5w219,company; funder,https://ror.org/00xn5w219,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
osce.org,Austria,German,2026-07-20,https://www.osce.org,Organization for Security and Co-operation in Europe,AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:55:33+00:00,URLError,unknown,research_funder,https://ror.org/01kmvv375,funder; nonprofit,https://ror.org/01kmvv375,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
schuhfried.com,Austria,German,2026-07-20,https://www.schuhfried.com,SCHUHFRIED GmbH (Austria),AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:55:15+00:00,URLError,unknown,research_funder,https://ror.org/04vzhdb88,company; funder,https://ror.org/04vzhdb88,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
tuwien.at,Austria,German,2026-02-24,https://www.tuwien.at,TU Wien,AT,de,ror_record_last_modified,2026-02-24,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/04d836q62,education; funder,https://ror.org/04d836q62,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
ueg.eu,Austria,German,2026-06-23,https://ueg.eu,United European Gastroenterology,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/005hr7v68,funder; nonprofit,https://ror.org/005hr7v68,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
unido.org,Austria,German,2026-07-20,http://www.unido.org/,United Nations Industrial Development Organization,AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:54:59+00:00,URLError,unknown,research_funder,https://ror.org/058ajkv68,funder; government,https://ror.org/058ajkv68,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
vetmeduni.ac.at,Austria,German,2026-02-24,https://www.vetmeduni.ac.at,University of Veterinary Medicine Vienna,AT,de,ror_record_last_modified,2026-02-24,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/01w6qp003,education; funder,https://ror.org/01w6qp003,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
donau-uni.ac.at,Austria,German,2026-02-24,https://www.donau-uni.ac.at,Universität für Weiterbildung Krems,AT,de,ror_record_last_modified,2026-02-24,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/03ef4a036,education; funder,https://ror.org/03ef4a036,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
schweinemedizin.at,Austria,German,2026-06-23,https://schweinemedizin.at,Verein der Freunde und Förderer der Schweinemedizin,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/0167c3179,funder; nonprofit,https://ror.org/0167c3179,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
wingsforlife.com,Austria,German,2026-06-02,http://www.wingsforlife.com/en,Wings for Life,AT,de,ror_record_last_modified,2026-06-02,,2026-07-29T06:56:45+00:00,RemoteDisconnected,unknown,research_funder,https://ror.org/043zam433,funder; nonprofit,https://ror.org/043zam433,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
wirtschaftsagentur.at,Austria,German,2026-06-23,https://viennabusinessagency.at,Wirtschaftsagentur Wien,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/03c5wrt42,funder,https://ror.org/03c5wrt42,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
oefg.at,Austria,German,2026-06-23,https://www.oefg.at,Österreichische Forschungsgemeinschaft,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/00bsxfj05,funder; nonprofit,https://ror.org/00bsxfj05,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
oeggh.at,Austria,German,2026-06-23,https://www.oeggh.at,Österreichische Gesellschaft für Gastroenterologie und Hepatologie,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/02r8c1j53,funder; nonprofit,https://ror.org/02r8c1j53,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
kinderkrebshilfe.at,Austria,German,2026-06-23,https://kinderkrebshilfe.at,Österreichische Kinder-Krebs-Hilfe,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/008w3ax30,funder; nonprofit,https://ror.org/008w3ax30,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
krebshilfe-tirol.at,Austria,German,2026-06-23,https://www.krebshilfe-tirol.at,Österreichische Krebshilfe Tirol,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/01h7pt324,funder; nonprofit,https://ror.org/01h7pt324,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
science.gov.az,Azerbaijan,Azerbaijani,2026-07-20,https://science.gov.az,Azerbaijan National Academy of Sciences,AZ,az,ror_record_last_modified,2026-07-20,,2026-07-29T06:54:59+00:00,URLError,unknown,research_funder,https://ror.org/006m4q736,funder; government,https://ror.org/006m4q736,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
arc.az,Azerbaijan,Azerbaijani,2026-06-23,https://arc.az,Azerbaijan Respiratory Society,AZ,az,ror_record_last_modified,2026-06-23,,2026-07-29T06:55:15+00:00,URLError,unknown,research_funder,https://ror.org/02ahw0w11,funder; nonprofit,https://ror.org/02ahw0w11,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
bsu.edu.az,Azerbaijan,Azerbaijani,2024-12-11,http://bsu.edu.az/en/,Baku State University,AZ,az,ror_record_last_modified,2024-12-11,,2026-07-29T06:55:33+00:00,TimeoutError,unknown,research_funder,https://ror.org/054gw3b40,education; funder,https://ror.org/054gw3b40,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
aef.gov.az,Azerbaijan,Azerbaijani,2024-12-11,https://www.aef.gov.az,Elmin Inkişafı Fondu,AZ,az,ror_record_last_modified,2024-12-11,,2026-07-29T06:55:49+00:00,URLError,unknown,research_funder,https://ror.org/0372q6t83,government; funder,https://ror.org/0372q6t83,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
bas-net.by,Belarus,Belarusian|Russian,2024-12-11,http://fond.bas-net.by/default_eng.html,Belarusian Republican Foundation for Fundamental Research,BY,be|ru,ror_record_last_modified,2024-12-11,,2026-07-29T06:55:49+00:00,TimeoutError,unknown,research_funder,https://ror.org/00kxash64,government; funder,https://ror.org/00kxash64,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
bsu.by,Belarus,Belarusian|Russian,2024-12-11,https://bsu.by,Belarusian State University,BY,be|ru,ror_record_last_modified,2024-12-11,,2026-07-29T06:55:34+00:00,URLError,unknown,research_funder,https://ror.org/021036w13,education; funder,https://ror.org/021036w13,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
basnet.by,Belarus,Belarusian|Russian,2026-06-23,https://economics.basnet.by,Institute of Economics of the National Academy of Sciences of Belarus,BY,be|ru,ror_record_last_modified,2026-06-23,,2026-07-29T06:54:59+00:00,URLError,unknown,research_funder,https://ror.org/00g4egj48,facility; funder,https://ror.org/00g4egj48,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
gov.by,Belarus,Belarusian|Russian,2024-12-11,http://nasb.gov.by/eng/,National Academy of Sciences of Belarus,BY,be|ru,ror_record_last_modified,2024-12-11,,2026-07-29T06:55:15+00:00,TimeoutError,unknown,research_funder,https://ror.org/02j8pe645,government; funder,https://ror.org/02j8pe645,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
bekaert.com,Belgium,Dutch|French|German,2026-07-20,http://www.bekaert.com/,Bekaert (Belgium),BE,nl|fr|de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:45+00:00,RemoteDisconnected,unknown,research_funder,https://ror.org/00d5z2352,company; funder,https://ror.org/00d5z2352,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
sckcen.be,Belgium,Dutch|French|German,2026-07-20,https://www.sckcen.be/en,Belgian Nuclear Research Centre,BE,nl|fr|de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:43+00:00,URLError,unknown,research_funder,https://ror.org/020xs5r81,facility; funder,https://ror.org/020xs5r81,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
croplifeeurope.eu,Belgium,Dutch|French|German,2026-07-20,https://croplifeeurope.eu,CropLife Europe,BE,nl|fr|de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/0052p9r78,funder; nonprofit,https://ror.org/0052p9r78,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
eurocontrol.int,Belgium,Dutch|French|German,2026-07-20,http://www.eurocontrol.int/,Eurocontrol,BE,nl|fr|de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:44+00:00,RemoteDisconnected,unknown,research_funder,https://ror.org/050r3h664,funder; other,https://ror.org/050r3h664,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
eatcs.org,Belgium,Dutch|French|German,2026-07-20,https://eatcs.org,European Association for Theoretical Computer Science,BE,nl|fr|de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/00gvwav56,funder; nonprofit,https://ror.org/00gvwav56,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
eans.org,Belgium,Dutch|French|German,2026-07-20,https://www.eans.org,European Association of Neurosurgical Societies,BE,nl|fr|de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/00qj6wa70,funder; nonprofit,https://ror.org/00qj6wa70,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
ectsoc.org,Belgium,Dutch|French|German,2026-06-23,https://ectsoc.org,European Calcified Tissue Society,BE,nl|fr|de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/02g33sh54,funder; nonprofit,https://ror.org/02g33sh54,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
cost.eu,Belgium,Dutch|French|German,2026-07-20,http://www.cost.eu/,European Cooperation in Science and Technology,BE,nl|fr|de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:45+00:00,RemoteDisconnected,unknown,research_funder,https://ror.org/01bstzn19,funder; other,https://ror.org/01bstzn19,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
efpa.eu,Belgium,Dutch|French|German,2026-06-23,https://www.efpa.eu,European Federation of Psychologists' Associations,BE,nl|fr|de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/03ggvtm67,funder; nonprofit,https://ror.org/03ggvtm67,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
siope.eu,Belgium,Dutch|French|German,2026-07-20,https://www.siope.eu/,European Society for Paediatric Oncology,BE,nl|fr|de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:37+00:00,URLError,unknown,research_funder,https://ror.org/0186mhr93,funder; other,https://ror.org/0186mhr93,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
escrh.eu,Belgium,Dutch|French|German,2026-06-23,https://escrh.eu,European Society of Contraception and Reproductive Health,BE,nl|fr|de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/005a7ds31,funder; nonprofit,https://ror.org/005a7ds31,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
essoweb.org,Belgium,Dutch|French|German,2026-06-23,https://www.essoweb.org,European Society of Surgical Oncology,BE,nl|fr|de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/02efszc08,funder; nonprofit,https://ror.org/02efszc08,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
eyehopefoundation.org,Belgium,Dutch|French|German,2026-07-20,https://eyehopefoundation.org,Eye Hope Foundation,BE,nl|fr|de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/026qh6m85,funder; nonprofit,https://ror.org/026qh6m85,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
fens.org,Belgium,Dutch|French|German,2026-06-23,https://www.fens.org,Federation of European Neuroscience Societies,BE,nl|fr|de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/01b2g3h90,funder; nonprofit,https://ror.org/01b2g3h90,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
flandersmake.be,Belgium,Dutch|French|German,2026-07-20,https://www.flandersmake.be,Flanders Make (Belgium),BE,nl|fr|de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/02ndjfz59,company; funder,https://ror.org/02ndjfz59,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
fondsbailletlatour.com,Belgium,Dutch|French|German,2026-06-23,https://www.fondsbailletlatour.com,Fonds Baillet Latour,BE,nl|fr|de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/039grzt84,funder; nonprofit,https://ror.org/039grzt84,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
fruitjuicesciencecentre.eu,Belgium,Dutch|French|German,2026-07-20,https://fruitjuicesciencecentre.eu,Fruit Juice Science Centre,BE,nl|fr|de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/05nv31j87,funder; nonprofit,https://ror.org/05nv31j87,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
fro-online.org,Belgium,Dutch|French|German,2026-06-23,https://www.fro-online.org,Funds for Research in Ophthalmology,BE,nl|fr|de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/03dx3xy28,funder; nonprofit,https://ror.org/03dx3xy28,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
